,Close
1879,2033.7
1880,2032
1881,2000.55
1882,1982.35
1883,1950.25
1884,1916.55
1885,1922.35
1886,1915.4
1887,1904.35
1888,1954.1
1889,1987.55
1890,1995.25
1891,1962.7
1892,1950.1
1893,1957.8
1894,1966.3
1895,1991.85
1896,1973
1897,1966.4
1898,2028.85
1899,1907.6
1900,1907.45
1901,2017.1
1902,1942.55
1903,1945.45
1904,1989.55
1905,1940.95
1906,1973.2
1907,2072.3
1908,2019.75
1909,1948.75
1910,1983.3
1911,1941.1
1912,1883.25
1913,1899.6
1914,1915.7
1915,1903.2
1916,1901.75
1917,1907.75
1918,1908.6
1919,1972.05
1920,1977.85
1921,1955.5
1922,1990.55
1923,1977.5
1924,1998.3
1925,2060.55
1926,2051.65
1927,2112.65
1928,2126.95
1929,2107.7
1930,2148.25
1931,2170.95
1932,2207.05
1933,2221.65
1934,2180.3
1935,2180.6
1936,2351.8
1937,2339.15
1938,2368.85
1939,2380.55
1940,2392.4
1941,2476.6
1942,2503.2
1943,2527.9
1944,2526.55
1945,2591.5
1946,2493.75
1947,2450.65
1948,2469.5
1949,2509.45
1950,2508.95
1951,2524.6
1952,2477.75
1953,2561.65
1954,2574.5
1955,2486.4
1956,2450.1
1957,2412.8
1958,2558.95
1959,2568.65
1960,2542.75
1961,2528.3
1962,2571.75
1963,2813
1964,2761.05
1965,2771.55
1966,2697.25
1967,2650.5
1968,2610.1
1969,2587.3
1970,2571.2
1971,2565.5
1972,2523.9
1973,2517.05
1974,2581.6
1975,2760.95
1976,2701
1977,2701.25
1978,2693.95
1979,2640.4
1980,2609.4
1981,2565.15
1982,2669.45
1983,2712.4
1984,2700.1
1985,2705.15
1986,2707.55
1987,2781.4
1988,2738.35
1989,2737.2
1990,2739.95
1991,2814.3
1992,2922.4
1993,2876.7
1994,2944.95
1995,3112.1
1996,3169.4
1997,3060.75
1998,2869.55
1999,2811.75
2000,2748.9
2001,2722.95
2002,2898.55
2003,2891.8
2004,2910.2
2005,2926.35
2006,2877.75
2007,2922.6
2008,3058.8
2009,3045
2010,3126.5
2011,3116.3
2012,3080.5
2013,3180.15
2014,3131.65
2015,3058.7
2016,2978.9
2017,2918.55
2018,2845
2019,2851.85
2020,2810
2021,2685.1
2022,2510.25
2023,2533.4
2024,2609.2
2025,2714.25
2026,2785.05
2027,2864
2028,2884.15
2029,2839.1
2030,2999.9
2031,3018.9
2032,3070.05
2033,2978.2
2034,2948.45
2035,2792.85
2036,2627.6
2037,2617.5
2038,2718.5
2039,2865.1
2040,2925.45
2041,2902.4
2042,2853.4
2043,2750.65
2044,2649.85
2045,2574.5
2046,2588.2
2047,2580.55
2048,2690.5
2049,2748.15
2050,2796.35
2051,2571.4
2052,2630.95
2053,2766.65
2054,2625.2
2055,2553.85
2056,2502.3
2057,2533.5
2058,2500.15
2059,2502.3
2060,2226.55
2061,2210.9
2062,2214
2063,2379.7
2064,2595.4
2065,2670.15
2066,2665.7
2067,2613.95
2068,2379.75
2069,2361.95
2070,2472.9
2071,2444.95
2072,2274.7
2073,2301.35
2074,2310.2
2075,2403.65
2076,2388.7
2077,2380.1
2078,2376.45
2079,2387.3
2080,2483.75
2081,2489.55
2082,2585.35
2083,2563.4
2084,2594.5
2085,2694.75
2086,2720.25
2087,2888.8
2088,2800
2089,2774.8
2090,2711.3
2091,2722.9
2092,2732.4
2093,2722.55
2094,2644.5
2095,2700.25
2096,2651.35
2097,2738.7
2098,2801.8
2099,2762
2100,2781.35
2101,2690
2102,2627.65
2103,2674.9
2104,2567
2105,2519.85
2106,2514.5
2107,2433
2108,2572.85
2109,2521.4
2110,2457
2111,2402.7
2112,2392.8
2113,2349.45
2114,2207.15
2115,2103.9
2116,2185.6
2117,2174.25
2118,2129.2
2119,2160.6
2120,2297.2
2121,2314.7
2122,2232.8
2123,2172.6
2124,2213.85
2125,2264.25
2126,2168.7
2127,2236.25
2128,2052.4
2129,1964.85
2130,1838.75
2131,2036.85
2132,1940.8
2133,2057.4
2134,2059.55
2135,2010.95
2136,2096.55
2137,2116.35
2138,1998.2
2139,1933.55
2140,1799.55
2141,1718.3
2142,1888.6
2143,2066.55
2144,2085.5
2145,2140.8
2146,2376.4
2147,2352.65
2148,2214.8
2149,2223.5
2150,2108
2151,2273.1
2152,2277.35
2153,2401.75
2154,2373
2155,2465
2156,2391.35
2157,2477.6
2158,2516.1
2159,2576.75
2160,2466.75
2161,2406.85
2162,2288.35
2163,2363.7
2164,2284.65
2165,2315.9
2166,2207.85
2167,2280.1
2168,2364.75
2169,2342
2170,2296.4
2171,2246.3
2172,2343.5
2173,2339.4
2174,2447.6
2175,2419.1
2176,2281.85
2177,2379.9
2178,2379.8
2179,2319.85
2180,2261
2181,2182
2182,2203.5
2183,2175.55
2184,2168.15
2185,2130.5
2186,2317.35
2187,2332.3
2188,2197.25
2189,2178.7
2190,2165.4
2191,2091.15
2192,2031.8
2193,2143.95
2194,2207.05
2195,2079.55
2196,1961.05
2197,1952.15
2198,1888.2
2199,1721.8
2200,1811.85
2201,1833.4
2202,1710.05
2203,1804.75
2204,1782.05
2205,1883
2206,1975.15
2207,1904.95
2208,1763.8
2209,1575.05
2210,1467.4
2211,1541.65
2212,1504.5
2213,1764.7
2214,1894.35
2215,1918.95
2216,1749.8
2217,1657.3
2218,1701.55
2219,1776.5
2220,1659.3
2221,1636.15
2222,1558.65
2223,1497.3
2224,1419.85
2225,1366.15
2226,1287.1
2227,1396.05
2228,1371.95
2229,1350.6
2230,1415.2
2231,1469.45
2232,1443.75
2233,1387.4
2234,1410.5
2235,1511.75
2236,1430.3
2237,1511.95
2238,1618.55
2239,1606
2240,1634.3
2241,1612.75
2242,1546.2
2243,1538.3
2244,1534.55
2245,1523.8
2246,1496.25
2247,1480.05
2248,1463.55
2249,1449.05
2250,1498.05
2251,1532.65
2252,1486.4
2253,1505.35
2254,1545.15
2255,1630.15
2256,1680.45
2257,1629.25
2258,1643.7
2259,1616.8
2260,1553.2
2261,1586.35
2262,1534.85
2263,1565.5
2264,1546.1
2265,1485.8
2266,1373.55
2267,1403.25
2268,1389.1
2269,1445.6
2270,1504.55
2271,1530.2
2272,1531.6
2273,1421.5
2274,1431.3
2275,1438.55
2276,1387.9
2277,1412
2278,1492.05
2279,1510.2
2280,1531.95
2281,1525.05
2282,1540.4
2283,1498.55
2284,1433.6
2285,1362.35
2286,1392.8
2287,1352.4
2288,1291.7
2289,1254.75
2290,1212.05
2291,1274.5
2292,1240.45
2293,1201.3
2294,1160.9
2295,1151.25
2296,1220.25
2297,1255.8
2298,1290.2
2299,1377.5
2300,1392.85
2301,1364.6
2302,1354
2303,1387.95
2304,1410.8
2305,1527.9
2306,1564.85
2307,1594
2308,1656.45
2309,1585.4
2310,1446.8
2311,1412.2
2312,1505.8
2313,1576.9
2314,1698.35
2315,1708.5
2316,1705.1
2317,1688.65
2318,1770.8
2319,1754.3
2320,1799.55
2321,1751.7
2322,1750.7
2323,1742.15
2324,1758
2325,1805.4
2326,1807.95
2327,1665.05
2328,1726.95
2329,1965.05
2330,1850.85
2331,1740.7
2332,1817.45
2333,1736.4
2334,1711.15
2335,1844.7
2336,1905.7
2337,1860.9
2338,1938.55
2339,2374.2
2340,2370.3
2341,2200.55
2342,2093.65
2343,2117
2344,2086.15
2345,2083.3
2346,2170.85
2347,2183.25
2348,2179.6
2349,2302.75
2350,2402.8
2351,2379.75
2352,2432.5
2353,2425.7
2354,2329.75
2355,2359.1
2356,2349.65
2357,2346.5
2358,2282.15
2359,2283.45
2360,2309.35
2361,2280.9
2362,2275.7
2363,2291.05
2364,2306.3
2365,2365.35
2366,2310.45
2367,2377.25
2368,2435.15
2369,2373.2
2370,2344.75
2371,2345.55
2372,2404.7
2373,2586.3
2374,2355.9
2375,2361.45
2376,2326.05
2377,2306.85
2378,2198.5
2379,2211.45
2380,2371.65
2381,2426.2
2382,2378.05
2383,2522.8
2384,2506.85
2385,2525.1
2386,2402
2387,2451.15
2388,2413.5
2389,2356.7
2390,2377.4
2391,2367.5
2392,2473.45
2393,2536.05
2394,2533.8
2395,2504.7
2396,2469.25
2397,2410.8
2398,2381.9
2399,2335.8
2400,2307.9
2401,2288.8
2402,2363.15
2403,2316
2404,2249.85
