Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover
5/11/2018,HDFC,EQ,1824.4,1811.25,1824.4,1773.35,1798.9,1792.9,1794.02,3291569,5.91E+14
6/11/2018,HDFC,EQ,1792.9,1801.4,1814,1783.1,1802,1805.9,1799.53,2033692,3.66E+14
7/11/2018,HDFC,EQ,1805.9,1813.55,1819,1807.65,1812.6,1815.85,1815.07,124505,2.26E+13
9/11/2018,HDFC,EQ,1815.85,1820,1832.7,1780,1824.95,1816.1,1813.72,4002556,7.26E+14
12/11/2018,HDFC,EQ,1816.1,1817.1,1838.45,1789.35,1797,1795.9,1810.69,2020191,3.66E+14
13-11-2018,HDFC,EQ,1795.9,1790,1829,1784.55,1825,1824.7,1807.92,1812035,3.28E+14
14-11-2018,HDFC,EQ,1824.7,1836,1850,1830.25,1838,1839.15,1840.11,2899132,5.33E+14
15-11-2018,HDFC,EQ,1839.15,1837,1858,1824.2,1849,1853.6,1844.57,1666149,3.07E+14
16-11-2018,HDFC,EQ,1853.6,1861,1892.9,1850,1884.05,1889,1878.88,2925841,5.50E+14
19-11-2018,HDFC,EQ,1889,1899.95,1906.95,1872.8,1893.2,1899.35,1891.81,2675368,5.06E+14
20-11-2018,HDFC,EQ,1899.35,1890,1904,1872.05,1878.8,1876.8,1882.93,2123458,4.00E+14
21-11-2018,HDFC,EQ,1876.8,1877.1,1891.25,1864,1872.15,1868.15,1873.76,2394930,4.49E+14
22-11-2018,HDFC,EQ,1868.15,1872,1889.2,1866.65,1874.7,1873.7,1880.34,1646774,3.10E+14
26-11-2018,HDFC,EQ,1873.7,1883.9,1891.3,1869,1884.5,1884.65,1882.83,2375787,4.47E+14
27-11-2018,HDFC,EQ,1884.65,1884.65,1908.8,1870,1903,1901.7,1892.65,2486736,4.71E+14
28-11-2018,HDFC,EQ,1901.7,1909,1930.9,1907.15,1924,1928,1920.81,3140874,6.03E+14
29-11-2018,HDFC,EQ,1928,1940,1965,1935,1964.5,1956.3,1949.63,3832797,7.47E+14
30-11-2018,HDFC,EQ,1956.3,1970,1998.75,1962.8,1992,1989,1982.42,4236401,8.40E+14
3/12/2018,HDFC,EQ,1989,2000.15,2017,1955,1976.4,1980.75,1989.66,3249616,6.47E+14
4/12/2018,HDFC,EQ,1980.75,1980,1980,1917.7,1942.85,1939.45,1937.54,3914521,7.58E+14
5/12/2018,HDFC,EQ,1939.45,1927,1979.8,1920.6,1970.5,1973.3,1952.48,3147110,6.14E+14
6/12/2018,HDFC,EQ,1973.3,1955.05,1969.8,1938,1941,1945.8,1960.13,4278616,8.39E+14
7/12/2018,HDFC,EQ,1945.8,1946.9,1961.3,1929.1,1957.95,1951.35,1943.81,2442617,4.75E+14
10/12/2018,HDFC,EQ,1951.35,1924.35,1939.9,1901.25,1905,1906.5,1917.18,2182278,4.18E+14
11/12/2018,HDFC,EQ,1906.5,1878,1912.65,1855.25,1904,1905.25,1885.14,3547051,6.69E+14
12/12/2018,HDFC,EQ,1905.25,1912,1946.8,1904.25,1937,1940.2,1923.88,2228690,4.29E+14
13-12-2018,HDFC,EQ,1940.2,1945,1961.9,1927.9,1941.45,1942.05,1943.93,2778618,5.40E+14
14-12-2018,HDFC,EQ,1942.05,1945,1955,1898.05,1909.6,1904.1,1913.13,3459751,6.62E+14
17-12-2018,HDFC,EQ,1904.1,1915,1963.4,1913.7,1963,1960.35,1942.9,2030693,3.95E+14
18-12-2018,HDFC,EQ,1960.35,1955,1957.9,1932.5,1949.05,1952,1943.92,2121103,4.12E+14
19-12-2018,HDFC,EQ,1952,1954,1985.5,1948.55,1979.8,1981.7,1973.76,2560551,5.05E+14
20-12-2018,HDFC,EQ,1981.7,1970,1982,1943.05,1977,1974.7,1960.03,1829220,3.59E+14
